Best 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 
25963.22 26256.38 23492.11 23300.97 22846.35 22304.67 22596.52 22660.4 22947.74 23536.95 23121.07 22981.39 23541.62 23541.66 23030.35 23288.87 23500.36 23238.86 23255.6 23326.08 23367.92
28169.08 31939.48 29709.13 29136.87 28616.42 29044.4 28784.06 27675.83 28181.8 28608.47 28807.06 28440.35 28799.36 28776.73 28388.17 28771.48 28329.9 28008.59 28851.41 29298.34 28297.98
26412.46 27448.79 23895.53 24065.67 23827.29 23160.99 23490.92 23304.55 23282.72 23670.51 23628.03 23180.41 23571.56 23521.72 23391.08 23744.53 23685.5 23839.39 23951.36 23936.67 23629.84
33387.01 25786 24617.41 23673.93 22862.26 23329.57 23609.21 24606.54 23718.69 25323.83 24960.25 23948.78 24132.54 23739.34 23674.49 23976.94 24651.24 23978.74 24522.19 24553.83 24696.62
27363.24 27104.18 24806.29 25170.8 24780.48 24260.17 25280.73 25170.02 25388.45 25862.25 26092.06 26378.5 26637.65 25447.02 25973.35 25534.12 25895.38 26078.64 26301.03 25713.4 26242.41
29145.76 30393.72 28724.62 28355.01 28847.94 29111.79 30148.2 30107.44 30492.81 29882.46 29454.91 28881.34 29471.04 29789.98 29857.4 30377.39 29717.04 29947.57 30223.46 29959.29 31143.53 
36137.74 32825.03 29775.81 29798.3 29562.98 28611.43 29181.82 28372.48 29001.2 28858.79 29369.42 29161.02 30041.87 28837.52 28490.87 28970.24 29366.57 29224.68 29942.68 29231.69 29452.86 
33219.77 28324.65 25617.89 26675.53 25183.94 24913.78 24438.29 25325.83 24058.08 24434.78 25327.66 24601.4 24421.41 24426.46 24657.33 24862.68 24202.39 24246.36 24647.51 25143.88 24970.93 
38224.83 38360.54 35186.04 35422.01 35020.67 35530.19 36266.28 35612.59 36583.93 35770 35530.72 35571.17 35920.33 34369.56 36282.24 36511.07 35973.46 36089.65 36501.73 35689.53 35847.8 
38912.74 35555.32 34102.38 33705.28 34217.77 33991.95 34933.18 34971.18 35213.78 34155.52 35203.51 35326.12 35222.54 34770.06 35698.53 34749.16 34579.78 34497.69 35026.57 34576.03 35268.12 
25138.53 29308.87 25183.61 24345.19 25035.43 25470.78 25297.8 25888.05 26462.67 26192.6 26212.18 26326.41 25985.92 26223.79 25731.17 26587.43 26787.93 25905.61 26150.1 26935.68 27037.96 
27150.37 30956.94 27795.55 26484.86 26658.69 27049.39 27275.59 27444.5 27642.42 27403.25 27512.05 27398.1 27885.55 27827.51 27753.98 27839.69 27737.27 27668.47 27794.77 27693.22 27702.45 
29603.44 25839.13 23568.16 23562.49 23132.41 22789.96 23332.95 23583.85 23378.85 23626.46 23680.74 23633.85 23642.73 23738.24 23708.5 23608.22 23717.26 23683.58 23637.89 23789.1 24111.26 
27162.21 27732.8 23618.56 23168.67 22690.67 22299.54 23342.99 23082.81 22851.16 22904.04 22867.98 23314.65 23321.92 23038.37 22959.36 23160.87 23251.97 23259.94 23450.77 23175.08 23248.04 
26043.35 25318.76 21739.08 22355.57 21342.35 21125.33 21643.4 22012.19 21986.95 21877.83 22192.76 21821.43 22235.05 21922.29 22554.82 22138.89 22434.58 22272.58 22068.96 22327.61 22422.03 
33741.32 29040.12 24729.24 22680.95 23472.06 23561.94 25191.93 23877.17 23847.32 24781.74 23981.3 23280.84 23170.45 24123.72 22863.53 23222.34 23294.75 22523.62 23376.7 23692.74 23553.07 
33428.95 26423.49 25749.43 24932 25590.84 25985.52 25566.08 25974.43 25287.29 25622.88 25646.11 26202.25 26342.76 25974.92 26503.56 25514.1 25757.97 26281.99 26113.81 26694.64 26649.89 
27169.22 29486.66 25346.83 25007.52 25104.91 25053.69 26000.3 26007.05 25872.62 26046.26 26081.5 25846.62 25897.56 25910.7 25978.97 26016.66 25500.31 25752.05 25718.15 26213.12 25959.55 
25489.73 25542.41 23812.41 24121.36 22880.01 23581.92 24419.54 24263.08 24100 24190.11 24782.46 24750.22 25462.94 26110.02 25950.93 26409.25 26150.5 25975.12 26135.33 25830.8 25309.17 
32237.07 27535.29 25203.85 23912.81 22700.98 24488.76 23990.5 23545.14 23338.49 22960.91 23105.57 24422.54 23692.91 24648.35 23217.73 24094.06 23477.26 23589.41 23676.44 24202.77 23062.84 
