Best 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 
30995.81 27278.33 25047.19 25783.82 25880.21 24365.67 25713.88 25535.48 25223.3 24973.24 24669.58 25233.39 25216.84 25252.94 25318.33 25356.54 25743.39 25803.39 25174.22 25302.78 25236.92 
34426.2 33895.97 32821.99 31472.13 32197.69 32088.52 33068.58 31975.81 32663.06 32318.91 32680.6 32982.05 32887.58 33363.95 32520.72 32769.29 32970.96 32104.51 33203.86 32863.57 32725.45 
32343.16 29313.51 27369.09 27256.84 26935.05 26954.56 26883.59 27043.91 27113.56 26892.7 26859.11 27077.5 26856.67 26911.71 27020.02 26779.95 26945.91 26784.58 27014.7 26913.66 26977.38 
30010.72 32236.97 29091.66 27350.71 27964.51 26461.24 28397.02 27157.54 28149.68 28439.71 27817.84 28429.81 28510.44 28566.18 27687.93 28141.05 27810.2 28230.88 28072.84 28277.62 27701.47 
27371.88 28779.17 27614.79 25844.47 26075.17 25253.01 25349.64 25841.76 25709.67 25604.56 25903.8 26005.72 25812.62 25987.79 26114.33 26115.36 26232.98 25523.09 26217.32 26391.33 25887.27 
30449.25 29213.65 26921.81 26380.46 26192.82 25979.77 26372.75 26463.75 26570.73 26372.37 26347.5 26599.05 26388.16 26779.53 27223.87 26558.54 26802.5 26639.67 27093.94 26929.23 26759.88 
30926.84 32151.95 29432.15 28862.35 28752.97 28423.27 27719.34 27891.76 28176.14 28429.68 27976.51 28720.2 28644.13 28821.17 29332.73 30182.71 29735.14 30029 28988.78 29355.28 31129.6 
26386.3 32079.14 28934.36 27150.99 27736.62 26788.59 26698.87 26733.74 26142.54 26974.15 27222.93 27525.86 27521.94 27469.69 27832.1 27490.73 28067.43 27877.07 27996.47 28780.79 27904.31 
29766.7 27446.82 27274.95 25819.89 25412.73 25377.8 25851.3 25856.36 25187.87 26168.05 25867.77 25651.74 25691.07 25949.27 26080.81 26107.69 25751.32 26066.53 25747.91 26427.95 25925.07 
29724.19 28897.96 26277.52 26508.14 25364.7 25102.38 25768.3 25738.74 25900.94 26162.92 25361.66 25307.67 25245.37 25511.85 25549.55 25436.21 25567.81 25506.43 25471.8 25520.75 25181.1 
31156.26 28212.16 25922.8 26705.86 26418.39 26136.92 26265.48 25702.1 25001.51 24257.94 24491.06 24339.3 24305.34 24822.72 24418.11 24123.92 24687.32 24583.92 25300.06 24860.52 24500.21 
27639.4 29112.59 26327.03 26291.03 25996.16 25857.33 26064.61 26290.81 26013.26 26108.52 25982.38 25984.87 26177.37 26152.84 26468.14 26569.8 25958.1 26235.54 26022.72 26154.98 26601.29 
30491.64 27060.54 25363.06 25048.07 24860.84 25875.89 25789.49 25718.68 25891.86 26077.05 26314.14 26290.5 26408.49 27079.22 25514.01 26652.7 25966.31 26048.06 26456.67 26021.19 26680.46 
29941.26 31103.36 26315.95 25843.77 25803.66 25367.9 25713.45 26228.45 26001.66 26123.63 26187.92 26067.77 26636.75 26129.3 26112.57 26328.82 26222.04 26033.45 25888.55 26364.78 25995.79 
33790.86 34440.88 31142 31541.52 30624.44 30973.89 31037.48 31605.5 31497.5 30974.03 31630.02 31299.03 31911.05 30858.19 31785.75 31801.35 31799.38 31647.69 31942.2 31727.28 31449.14 
